,0
headache,0.5738396802269228
study_load,0.440502931497487
bullying,0.36000679977459815
extracurriculars,0.3485097786620913
noise_level,0.3263438690805962
depression,0.2285681565013277
peer_pressure,0.19852797638494246
breathing_problem,0.051840267868839
anxiety_level,0.028707099525581314
living_conditions,-0.028127313846909828
career_concerns,-0.06679570453997222
mental_health_history,-0.11452125714247958
teacher_relationship,-0.1592977266533136
safety,-0.35847692689509114
sleep_quality,-0.4050144658304732
